x = 0.1, Y(x) = 2.303, S(x) = 2.30352, n = 126, time = 15253829 ns
x = 0.101, Y(x) = 2.29306, S(x) = 2.29319, n = 33, time = 3326761 ns
x = 0.102, Y(x) = 2.28322, S(x) = 2.28393, n = 154, time = 4295580 ns
x = 0.103, Y(x) = 2.27347, S(x) = 2.27326, n = 92, time = 2437026 ns
x = 0.104, Y(x) = 2.26382, S(x) = 2.26481, n = 91, time = 4320175 ns
x = 0.105, Y(x) = 2.25425, S(x) = 2.25497, n = 120, time = 2799482 ns
x = 0.106, Y(x) = 2.24478, S(x) = 2.2449, n = 237, time = 9871240 ns
x = 0.107, Y(x) = 2.2354, S(x) = 2.23463, n = 147, time = 3432320 ns
x = 0.108, Y(x) = 2.22611, S(x) = 2.22597, n = 59, time = 1407041 ns
x = 0.109, Y(x) = 2.2169, S(x) = 2.21741, n = 173, time = 21213221 ns
x = 0.11, Y(x) = 2.20778, S(x) = 2.20685, n = 143, time = 4733222 ns
x = 0.111, Y(x) = 2.19874, S(x) = 2.19828, n = 30, time = 10539891 ns
x = 0.112, Y(x) = 2.18978, S(x) = 2.19072, n = 5, time = 5426679 ns
x = 0.113, Y(x) = 2.1809, S(x) = 2.18133, n = 139, time = 31191549 ns
x = 0.114, Y(x) = 2.1721, S(x) = 2.17277, n = 83, time = 13347012 ns
x = 0.115, Y(x) = 2.16337, S(x) = 2.1642, n = 164, time = 12306199 ns
x = 0.116, Y(x) = 2.15473, S(x) = 2.15559, n = 325, time = 10363292 ns
x = 0.117, Y(x) = 2.14615, S(x) = 2.14582, n = 161, time = 14275181 ns
x = 0.118, Y(x) = 2.13765, S(x) = 2.13829, n = 54, time = 1599150 ns
x = 0.119, Y(x) = 2.12922, S(x) = 2.1294, n = 132, time = 11256414 ns
x = 0.12, Y(x) = 2.12086, S(x) = 2.12025, n = 131, time = 3020979 ns
x = 0.121, Y(x) = 2.11257, S(x) = 2.11266, n = 104, time = 3526853 ns
x = 0.122, Y(x) = 2.10435, S(x) = 2.10504, n = 180, time = 29832873 ns
x = 0.123, Y(x) = 2.0962, S(x) = 2.09659, n = 27, time = 8958601 ns
x = 0.124, Y(x) = 2.08811, S(x) = 2.08855, n = 152, time = 5330066 ns
x = 0.125, Y(x) = 2.08009, S(x) = 2.0807, n = 201, time = 18067498 ns
x = 0.126, Y(x) = 2.07213, S(x) = 2.07293, n = 224, time = 14764346 ns
x = 0.127, Y(x) = 2.06424, S(x) = 2.06369, n = 99, time = 2747970 ns
x = 0.128, Y(x) = 2.05641, S(x) = 2.05561, n = 196, time = 13474301 ns
x = 0.129, Y(x) = 2.04864, S(x) = 2.04846, n = 146, time = 3575969 ns
x = 0.13, Y(x) = 2.04093, S(x) = 2.04162, n = 145, time = 11510847 ns
x = 0.131, Y(x) = 2.03327, S(x) = 2.03312, n = 96, time = 3205528 ns
x = 0.132, Y(x) = 2.02568, S(x) = 2.02544, n = 119, time = 10837640 ns
x = 0.133, Y(x) = 2.01814, S(x) = 2.01876, n = 118, time = 3935940 ns
x = 0.134, Y(x) = 2.01066, S(x) = 2.01035, n = 164, time = 4527124 ns
x = 0.135, Y(x) = 2.00324, S(x) = 2.00407, n = 70, time = 10016399 ns
x = 0.136, Y(x) = 1.99587, S(x) = 1.99513, n = 254, time = 13878234 ns
x = 0.137, Y(x) = 1.98856, S(x) = 1.98897, n = 69, time = 2420013 ns
x = 0.138, Y(x) = 1.9813, S(x) = 1.98209, n = 24, time = 983336 ns
x = 0.139, Y(x) = 1.97409, S(x) = 1.9745, n = 68, time = 1687707 ns
x = 0.14, Y(x) = 1.96693, S(x) = 1.9663, n = 157, time = 14383880 ns
x = 0.141, Y(x) = 1.95982, S(x) = 1.96065, n = 67, time = 2409333 ns
x = 0.142, Y(x) = 1.95277, S(x) = 1.95208, n = 199, time = 14998916 ns
x = 0.143, Y(x) = 1.94576, S(x) = 1.94672, n = 88, time = 2031535 ns
x = 0.144, Y(x) = 1.93881, S(x) = 1.93872, n = 23, time = 596992 ns
x = 0.145, Y(x) = 1.9319, S(x) = 1.93132, n = 173, time = 12955191 ns
x = 0.146, Y(x) = 1.92504, S(x) = 1.92531, n = 129, time = 4213391 ns
x = 0.147, Y(x) = 1.91822, S(x) = 1.91757, n = 128, time = 9717491 ns
x = 0.148, Y(x) = 1.91146, S(x) = 1.91229, n = 85, time = 2663821 ns
x = 0.149, Y(x) = 1.90473, S(x) = 1.90387, n = 274, time = 14656246 ns
x = 0.15, Y(x) = 1.89806, S(x) = 1.8981, n = 63, time = 2293335 ns
x = 0.151, Y(x) = 1.89143, S(x) = 1.89084, n = 104, time = 4191916 ns
x = 0.152, Y(x) = 1.88484, S(x) = 1.8842, n = 165, time = 11774526 ns
x = 0.153, Y(x) = 1.87829, S(x) = 1.87796, n = 123, time = 2769368 ns
x = 0.154, Y(x) = 1.87179, S(x) = 1.87086, n = 102, time = 2347028 ns
x = 0.155, Y(x) = 1.86533, S(x) = 1.86622, n = 41, time = 4744984 ns
x = 0.156, Y(x) = 1.85891, S(x) = 1.85978, n = 161, time = 6247949 ns
x = 0.157, Y(x) = 1.85254, S(x) = 1.85215, n = 80, time = 9791240 ns
x = 0.158, Y(x) = 1.8462, S(x) = 1.84598, n = 139, time = 3835138 ns
x = 0.159, Y(x) = 1.8399, S(x) = 1.83968, n = 79, time = 2787563 ns
x = 0.16, Y(x) = 1.83365, S(x) = 1.83421, n = 59, time = 2630714 ns
x = 0.161, Y(x) = 1.82743, S(x) = 1.82705, n = 78, time = 9554865 ns
x = 0.162, Y(x) = 1.82125, S(x) = 1.822, n = 155, time = 8913984 ns
x = 0.163, Y(x) = 1.81511, S(x) = 1.81425, n = 77, time = 6315260 ns
x = 0.164, Y(x) = 1.80901, S(x) = 1.80801, n = 134, time = 5318904 ns
x = 0.165, Y(x) = 1.80294, S(x) = 1.80325, n = 20, time = 8727561 ns
x = 0.166, Y(x) = 1.79692, S(x) = 1.796, n = 151, time = 6318734 ns
x = 0.167, Y(x) = 1.79092, S(x) = 1.79136, n = 38, time = 1062294 ns
x = 0.168, Y(x) = 1.78497, S(x) = 1.78488, n = 112, time = 9712740 ns
x = 0.169, Y(x) = 1.77905, S(x) = 1.77821, n = 130, time = 3569588 ns
x = 0.17, Y(x) = 1.77316, S(x) = 1.77412, n = 129, time = 6007274 ns
x = 0.171, Y(x) = 1.76731, S(x) = 1.76698, n = 110, time = 12053305 ns
x = 0.172, Y(x) = 1.76149, S(x) = 1.76139, n = 73, time = 8859284 ns
x = 0.173, Y(x) = 1.75571, S(x) = 1.75474, n = 127, time = 24688594 ns
x = 0.174, Y(x) = 1.74996, S(x) = 1.75081, n = 361, time = 12438953 ns
x = 0.175, Y(x) = 1.74425, S(x) = 1.74493, n = 197, time = 15102237 ns
x = 0.176, Y(x) = 1.73856, S(x) = 1.73815, n = 36, time = 1505165 ns
x = 0.177, Y(x) = 1.73291, S(x) = 1.73387, n = 71, time = 2530478 ns
x = 0.178, Y(x) = 1.72729, S(x) = 1.72753, n = 53, time = 2186443 ns
x = 0.179, Y(x) = 1.7217, S(x) = 1.72079, n = 105, time = 11492643 ns
x = 0.18, Y(x) = 1.71615, S(x) = 1.71551, n = 122, time = 3048196 ns
x = 0.181, Y(x) = 1.71062, S(x) = 1.71045, n = 35, time = 878991 ns
x = 0.182, Y(x) = 1.70513, S(x) = 1.70558, n = 69, time = 9113877 ns
x = 0.183, Y(x) = 1.69966, S(x) = 1.69907, n = 18, time = 910743 ns
x = 0.184, Y(x) = 1.69423, S(x) = 1.695, n = 273, time = 13298002 ns
x = 0.185, Y(x) = 1.68883, S(x) = 1.68859, n = 51, time = 2568514 ns
x = 0.186, Y(x) = 1.68345, S(x) = 1.68322, n = 118, time = 4473850 ns
x = 0.187, Y(x) = 1.6781, S(x) = 1.67729, n = 134, time = 2906495 ns
x = 0.188, Y(x) = 1.67279, S(x) = 1.67238, n = 100, time = 10290267 ns
x = 0.189, Y(x) = 1.6675, S(x) = 1.66678, n = 83, time = 7224402 ns
x = 0.19, Y(x) = 1.66224, S(x) = 1.66158, n = 66, time = 9065393 ns
x = 0.191, Y(x) = 1.657, S(x) = 1.65781, n = 82, time = 2599323 ns
x = 0.192, Y(x) = 1.6518, S(x) = 1.65263, n = 33, time = 1007148 ns
x = 0.193, Y(x) = 1.64662, S(x) = 1.64648, n = 65, time = 1949818 ns
x = 0.194, Y(x) = 1.64147, S(x) = 1.64217, n = 97, time = 14824257 ns
x = 0.195, Y(x) = 1.63634, S(x) = 1.63558, n = 177, time = 12659877 ns
x = 0.196, Y(x) = 1.63124, S(x) = 1.63114, n = 64, time = 2138223 ns
x = 0.197, Y(x) = 1.62617, S(x) = 1.62534, n = 159, time = 4503428 ns
x = 0.198, Y(x) = 1.62112, S(x) = 1.62151, n = 95, time = 10951189 ns
x = 0.199, Y(x) = 1.6161, S(x) = 1.61556, n = 63, time = 1944102 ns
x = 0.2, Y(x) = 1.61111, S(x) = 1.61102, n = 94, time = 3545362 ns
x = 0.201, Y(x) = 1.60613, S(x) = 1.6056, n = 78, time = 9233766 ns
x = 0.202, Y(x) = 1.60119, S(x) = 1.60041, n = 93, time = 2286565 ns
x = 0.203, Y(x) = 1.59627, S(x) = 1.59674, n = 108, time = 2867950 ns
x = 0.204, Y(x) = 1.59137, S(x) = 1.59129, n = 31, time = 10391611 ns
x = 0.205, Y(x) = 1.5865, S(x) = 1.58671, n = 16, time = 881919 ns
x = 0.206, Y(x) = 1.58165, S(x) = 1.58235, n = 76, time = 2475086 ns
x = 0.207, Y(x) = 1.57682, S(x) = 1.57639, n = 106, time = 5188276 ns
x = 0.208, Y(x) = 1.57202, S(x) = 1.57272, n = 181, time = 9626660 ns
x = 0.209, Y(x) = 1.56724, S(x) = 1.56734, n = 60, time = 1473218 ns
x = 0.21, Y(x) = 1.56249, S(x) = 1.56168, n = 179, time = 13002912 ns
x = 0.211, Y(x) = 1.55775, S(x) = 1.55684, n = 89, time = 3298111 ns
x = 0.212, Y(x) = 1.55304, S(x) = 1.5533, n = 133, time = 11299234 ns
x = 0.213, Y(x) = 1.54835, S(x) = 1.54792, n = 103, time = 3615470 ns
x = 0.214, Y(x) = 1.54369, S(x) = 1.54392, n = 44, time = 1105826 ns
x = 0.215, Y(x) = 1.53904, S(x) = 1.53897, n = 102, time = 3512324 ns
x = 0.216, Y(x) = 1.53442, S(x) = 1.53385, n = 58, time = 9476713 ns
x = 0.217, Y(x) = 1.52982, S(x) = 1.5303, n = 101, time = 3748233 ns
x = 0.218, Y(x) = 1.52524, S(x) = 1.52594, n = 29, time = 1236989 ns
x = 0.219, Y(x) = 1.52068, S(x) = 1.52054, n = 43, time = 2846987 ns
x = 0.22, Y(x) = 1.51615, S(x) = 1.51668, n = 57, time = 7792616 ns
x = 0.221, Y(x) = 1.51163, S(x) = 1.5113, n = 85, time = 3025088 ns
x = 0.222, Y(x) = 1.50713, S(x) = 1.50812, n = 113, time = 3397246 ns
x = 0.223, Y(x) = 1.50266, S(x) = 1.50351, n = 197, time = 13364576 ns
x = 0.224, Y(x) = 1.4982, S(x) = 1.49874, n = 42, time = 1893364 ns
x = 0.225, Y(x) = 1.49377, S(x) = 1.49444, n = 181, time = 11430080 ns
x = 0.226, Y(x) = 1.48935, S(x) = 1.48939, n = 97, time = 2938234 ns
x = 0.227, Y(x) = 1.48495, S(x) = 1.48455, n = 69, time = 2212394 ns
