x = 0.1, Y(x) = 2.303, S(x) = 2.30384, n = 53, time = 162434380 ns
x = 0.101, Y(x) = 2.29306, S(x) = 2.29262, n = 156, time = 3326535 ns
x = 0.102, Y(x) = 2.28322, S(x) = 2.28319, n = 149, time = 2409749 ns
x = 0.103, Y(x) = 2.27347, S(x) = 2.27284, n = 220, time = 1512877 ns
x = 0.104, Y(x) = 2.26382, S(x) = 2.26472, n = 142, time = 6276975 ns
x = 0.105, Y(x) = 2.25425, S(x) = 2.25487, n = 395, time = 2453874 ns
x = 0.106, Y(x) = 2.24478, S(x) = 2.24525, n = 118, time = 2129090 ns
x = 0.107, Y(x) = 2.2354, S(x) = 2.23609, n = 372, time = 2244395 ns
x = 0.108, Y(x) = 2.22611, S(x) = 2.22636, n = 99, time = 1986804 ns
x = 0.109, Y(x) = 2.2169, S(x) = 2.2178, n = 97, time = 2938706 ns
x = 0.11, Y(x) = 2.20778, S(x) = 2.20713, n = 75, time = 3690250 ns
x = 0.111, Y(x) = 2.19874, S(x) = 2.19918, n = 120, time = 4712047 ns
x = 0.112, Y(x) = 2.18978, S(x) = 2.18938, n = 16, time = 1584202 ns
x = 0.113, Y(x) = 2.1809, S(x) = 2.18144, n = 477, time = 2498642 ns
x = 0.114, Y(x) = 2.1721, S(x) = 2.17303, n = 57, time = 1953345 ns
x = 0.115, Y(x) = 2.16337, S(x) = 2.16357, n = 35, time = 1304600 ns
x = 0.116, Y(x) = 2.15473, S(x) = 2.15565, n = 70, time = 2804646 ns
x = 0.117, Y(x) = 2.14615, S(x) = 2.14684, n = 179, time = 3837352 ns
x = 0.118, Y(x) = 2.13765, S(x) = 2.13841, n = 57, time = 1317345 ns
x = 0.119, Y(x) = 2.12922, S(x) = 2.12935, n = 59, time = 3361234 ns
x = 0.12, Y(x) = 2.12086, S(x) = 2.12146, n = 87, time = 2230968 ns
x = 0.121, Y(x) = 2.11257, S(x) = 2.11299, n = 32, time = 2124900 ns
x = 0.122, Y(x) = 2.10435, S(x) = 2.10384, n = 31, time = 2463583 ns
x = 0.123, Y(x) = 2.0962, S(x) = 2.09719, n = 210, time = 4282299 ns
x = 0.124, Y(x) = 2.08811, S(x) = 2.08749, n = 47, time = 1650021 ns
x = 0.125, Y(x) = 2.08009, S(x) = 2.08013, n = 104, time = 3013427 ns
x = 0.126, Y(x) = 2.07213, S(x) = 2.073, n = 65, time = 4711660 ns
x = 0.127, Y(x) = 2.06424, S(x) = 2.06489, n = 74, time = 2249653 ns
x = 0.128, Y(x) = 2.05641, S(x) = 2.05671, n = 90, time = 2416436 ns
x = 0.129, Y(x) = 2.04864, S(x) = 2.0496, n = 91, time = 5013766 ns
x = 0.13, Y(x) = 2.04093, S(x) = 2.04049, n = 64, time = 1715315 ns
x = 0.131, Y(x) = 2.03327, S(x) = 2.03417, n = 74, time = 1890944 ns
x = 0.132, Y(x) = 2.02568, S(x) = 2.02649, n = 74, time = 1347623 ns
x = 0.133, Y(x) = 2.01814, S(x) = 2.01743, n = 66, time = 959791 ns
x = 0.134, Y(x) = 2.01066, S(x) = 2.01027, n = 53, time = 3755071 ns
x = 0.135, Y(x) = 2.00324, S(x) = 2.00408, n = 28, time = 431686 ns
x = 0.136, Y(x) = 1.99587, S(x) = 1.99581, n = 60, time = 2207579 ns
x = 0.137, Y(x) = 1.98856, S(x) = 1.98851, n = 34, time = 1488271 ns
x = 0.138, Y(x) = 1.9813, S(x) = 1.98128, n = 24, time = 1035768 ns
x = 0.139, Y(x) = 1.97409, S(x) = 1.97381, n = 64, time = 1920344 ns
x = 0.14, Y(x) = 1.96693, S(x) = 1.96782, n = 28, time = 4363325 ns
x = 0.141, Y(x) = 1.95982, S(x) = 1.95993, n = 29, time = 742006 ns
x = 0.142, Y(x) = 1.95277, S(x) = 1.95364, n = 46, time = 6490913 ns
x = 0.143, Y(x) = 1.94576, S(x) = 1.94487, n = 8, time = 1568481 ns
x = 0.144, Y(x) = 1.93881, S(x) = 1.93971, n = 12, time = 854997 ns
x = 0.145, Y(x) = 1.9319, S(x) = 1.93151, n = 40, time = 3242399 ns
x = 0.146, Y(x) = 1.92504, S(x) = 1.92509, n = 53, time = 2173747 ns
