x = 0.899, Y(x) = 0.140377, S(x) = 0.140731, n = 24, time = 48833 ns
x = 0.9, Y(x) = 0.139341, S(x) = 0.138547, n = 24, time = 49939 ns
x = 0.901, Y(x) = 0.138307, S(x) = 0.138211, n = 17, time = 56165 ns
x = 0.902, Y(x) = 0.137274, S(x) = 0.136491, n = 90, time = 55416 ns
x = 0.903, Y(x) = 0.136242, S(x) = 0.135508, n = 76, time = 50867 ns
x = 0.904, Y(x) = 0.135212, S(x) = 0.134904, n = 69, time = 61686 ns
x = 0.905, Y(x) = 0.134182, S(x) = 0.134135, n = 62, time = 63601 ns
x = 0.906, Y(x) = 0.133155, S(x) = 0.133742, n = 10, time = 50978 ns
x = 0.907, Y(x) = 0.132128, S(x) = 0.131579, n = 10, time = 54691 ns
x = 0.908, Y(x) = 0.131103, S(x) = 0.131916, n = 48, time = 62726 ns
x = 0.909, Y(x) = 0.130079, S(x) = 0.130074, n = 41, time = 51434 ns
x = 0.91, Y(x) = 0.129056, S(x) = 0.129253, n = 72, time = 62824 ns
x = 0.911, Y(x) = 0.128035, S(x) = 0.127512, n = 34, time = 76375 ns
x = 0.912, Y(x) = 0.127015, S(x) = 0.127628, n = 34, time = 65455 ns
x = 0.913, Y(x) = 0.125996, S(x) = 0.126266, n = 58, time = 83233 ns
x = 0.914, Y(x) = 0.124978, S(x) = 0.124116, n = 58, time = 49525 ns
x = 0.915, Y(x) = 0.123962, S(x) = 0.123678, n = 27, time = 51669 ns
x = 0.916, Y(x) = 0.122947, S(x) = 0.123794, n = 27, time = 79150 ns
x = 0.917, Y(x) = 0.121934, S(x) = 0.121404, n = 68, time = 86485 ns
x = 0.918, Y(x) = 0.120921, S(x) = 0.121235, n = 44, time = 92010 ns
x = 0.919, Y(x) = 0.11991, S(x) = 0.119097, n = 44, time = 76185 ns
x = 0.92, Y(x) = 0.1189, S(x) = 0.119174, n = 61, time = 75943 ns
x = 0.921, Y(x) = 0.117892, S(x) = 0.116929, n = 20, time = 65185 ns
x = 0.922, Y(x) = 0.116885, S(x) = 0.117045, n = 20, time = 78355 ns
x = 0.923, Y(x) = 0.115879, S(x) = 0.115033, n = 37, time = 63293 ns
x = 0.924, Y(x) = 0.114874, S(x) = 0.113991, n = 105, time = 78685 ns
x = 0.925, Y(x) = 0.11387, S(x) = 0.114622, n = 64, time = 53710 ns
x = 0.926, Y(x) = 0.112868, S(x) = 0.112436, n = 47, time = 80794 ns
x = 0.927, Y(x) = 0.111867, S(x) = 0.112554, n = 47, time = 77859 ns
x = 0.928, Y(x) = 0.110867, S(x) = 0.110974, n = 30, time = 59411 ns
x = 0.929, Y(x) = 0.109869, S(x) = 0.110003, n = 57, time = 53111 ns
x = 0.93, Y(x) = 0.108872, S(x) = 0.107891, n = 57, time = 56764 ns
x = 0.931, Y(x) = 0.107876, S(x) = 0.107378, n = 40, time = 50237 ns
x = 0.932, Y(x) = 0.106881, S(x) = 0.107496, n = 40, time = 51429 ns
x = 0.933, Y(x) = 0.105887, S(x) = 0.106481, n = 50, time = 49602 ns
x = 0.934, Y(x) = 0.104895, S(x) = 0.104378, n = 50, time = 82209 ns
x = 0.935, Y(x) = 0.103904, S(x) = 0.103949, n = 60, time = 60127 ns
x = 0.936, Y(x) = 0.102914, S(x) = 0.102771, n = 13, time = 77860 ns
x = 0.937, Y(x) = 0.101925, S(x) = 0.102887, n = 13, time = 54129 ns
x = 0.938, Y(x) = 0.100938, S(x) = 0.100457, n = 23, time = 50452 ns
x = 0.939, Y(x) = 0.099952, S(x) = 0.100324, n = 33, time = 74893 ns
x = 0.94, Y(x) = 0.098967, S(x) = 0.0982893, n = 43, time = 57149 ns
x = 0.941, Y(x) = 0.0979833, S(x) = 0.0971541, n = 63, time = 56244 ns
x = 0.942, Y(x) = 0.0970008, S(x) = 0.0979139, n = 113, time = 59468 ns
x = 0.943, Y(x) = 0.0960196, S(x) = 0.0970065, n = 116, time = 57513 ns
x = 0.944, Y(x) = 0.0950395, S(x) = 0.0958069, n = 76, time = 83587 ns
x = 0.945, Y(x) = 0.0940606, S(x) = 0.0946797, n = 56, time = 74945 ns
x = 0.946, Y(x) = 0.093083, S(x) = 0.0927467, n = 46, time = 49975 ns
x = 0.947, Y(x) = 0.0921065, S(x) = 0.0926662, n = 36, time = 55502 ns
x = 0.948, Y(x) = 0.0911313, S(x) = 0.0905954, n = 36, time = 61461 ns
x = 0.949, Y(x) = 0.0901572, S(x) = 0.0893038, n = 26, time = 54271 ns
x = 0.95, Y(x) = 0.0891844, S(x) = 0.0894243, n = 26, time = 78737 ns
x = 0.951, Y(x) = 0.0882127, S(x) = 0.0885712, n = 59, time = 74948 ns
x = 0.952, Y(x) = 0.0872423, S(x) = 0.0876706, n = 49, time = 73177 ns
x = 0.953, Y(x) = 0.086273, S(x) = 0.0856111, n = 49, time = 55027 ns
x = 0.954, Y(x) = 0.0853049, S(x) = 0.0858549, n = 72, time = 51706 ns
x = 0.955, Y(x) = 0.084338, S(x) = 0.0848639, n = 16, time = 56033 ns
x = 0.956, Y(x) = 0.0833723, S(x) = 0.0828125, n = 16, time = 48942 ns
x = 0.957, Y(x) = 0.0824078, S(x) = 0.0815541, n = 52, time = 95592 ns
x = 0.958, Y(x) = 0.0814445, S(x) = 0.081676, n = 52, time = 61398 ns
x = 0.959, Y(x) = 0.0804823, S(x) = 0.0810781, n = 29, time = 52960 ns
x = 0.96, Y(x) = 0.0795213, S(x) = 0.0804521, n = 3, time = 76262 ns
x = 0.961, Y(x) = 0.0785615, S(x) = 0.0784361, n = 3, time = 58994 ns
x = 0.962, Y(x) = 0.0776028, S(x) = 0.0770487, n = 42, time = 53379 ns
x = 0.963, Y(x) = 0.0766453, S(x) = 0.0762135, n = 55, time = 79406 ns
x = 0.964, Y(x) = 0.075689, S(x) = 0.0749555, n = 68, time = 74974 ns
x = 0.965, Y(x) = 0.0747339, S(x) = 0.0738657, n = 94, time = 48923 ns
x = 0.966, Y(x) = 0.0737799, S(x) = 0.0727881, n = 58, time = 51868 ns
x = 0.967, Y(x) = 0.072827, S(x) = 0.0722457, n = 32, time = 54405 ns
x = 0.968, Y(x) = 0.0718753, S(x) = 0.0723686, n = 32, time = 51166 ns
