x = 0.899, Y(x) = 0.140377, S(x) = 0.140731, n = 24, time = 672331 ns
x = 0.9, Y(x) = 0.139341, S(x) = 0.138547, n = 24, time = 864271 ns
x = 0.901, Y(x) = 0.138307, S(x) = 0.138211, n = 17, time = 906897 ns
x = 0.902, Y(x) = 0.137274, S(x) = 0.136491, n = 90, time = 2264640 ns
x = 0.903, Y(x) = 0.136242, S(x) = 0.135508, n = 76, time = 8025510 ns
x = 0.904, Y(x) = 0.135212, S(x) = 0.134904, n = 69, time = 2369436 ns
x = 0.905, Y(x) = 0.134182, S(x) = 0.134135, n = 62, time = 2250287 ns
x = 0.906, Y(x) = 0.133155, S(x) = 0.133742, n = 10, time = 1501524 ns
x = 0.907, Y(x) = 0.132128, S(x) = 0.131579, n = 10, time = 399755 ns
x = 0.908, Y(x) = 0.131103, S(x) = 0.131916, n = 48, time = 2542727 ns
x = 0.909, Y(x) = 0.130079, S(x) = 0.130074, n = 41, time = 4917492 ns
x = 0.91, Y(x) = 0.129056, S(x) = 0.129253, n = 72, time = 4601962 ns
x = 0.911, Y(x) = 0.128035, S(x) = 0.127512, n = 34, time = 1215040 ns
x = 0.912, Y(x) = 0.127015, S(x) = 0.127628, n = 34, time = 845400 ns
x = 0.913, Y(x) = 0.125996, S(x) = 0.126266, n = 58, time = 1280659 ns
x = 0.914, Y(x) = 0.124978, S(x) = 0.124116, n = 58, time = 8731372 ns
x = 0.915, Y(x) = 0.123962, S(x) = 0.123678, n = 27, time = 1036940 ns
x = 0.916, Y(x) = 0.122947, S(x) = 0.123794, n = 27, time = 1334656 ns
x = 0.917, Y(x) = 0.121934, S(x) = 0.121404, n = 68, time = 2755133 ns
x = 0.918, Y(x) = 0.120921, S(x) = 0.121235, n = 44, time = 2731209 ns
x = 0.919, Y(x) = 0.11991, S(x) = 0.119097, n = 44, time = 1573574 ns
x = 0.92, Y(x) = 0.1189, S(x) = 0.119174, n = 61, time = 7257613 ns
x = 0.921, Y(x) = 0.117892, S(x) = 0.116929, n = 20, time = 945059 ns
x = 0.922, Y(x) = 0.116885, S(x) = 0.117045, n = 20, time = 748639 ns
